s.no,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
6732,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,182,100,8,227,13.5,10.92,0
6733,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,176,99,8,227,14.57,10.67,0
6734,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,172,98,8,227,15,10.53,0
6735,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,170,97,8,227,14.87,10.52,0
6736,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,166,96,8,227,15.25,10.38,0
6737,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,166,95,8,227,14.64,10.48,0
6738,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,166,94,8,227,14.08,10.6,0
6739,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,165,93,8,227,13.78,10.65,0
6740,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,159,92,8,227,14.57,10.37,0
6741,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,158,91,8,227,14.28,10.42,0
6742,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,152,90,8,227,15,10.13,0
6743,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,151,89,8,227,14.71,10.18,0
6744,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,150,88,8,227,14.44,10.23,0
6745,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,149,87,8,227,14.18,10.28,0
6746,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,148,86,8,227,13.94,10.33,0
6747,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,147,85,8,227,13.71,10.38,0
6748,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,146,84,8,227,13.5,10.43,0
6749,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,146,83,8,227,13.14,10.55,0
6750,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,146,82,8,227,12.79,10.68,0
6751,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,142,81,8,227,13.08,10.52,0
6752,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,136,80,8,227,13.65,10.2,0
6753,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,135,79,8,227,13.46,10.25,0
6754,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,134,78,8,227,13.29,10.31,0
6755,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,134,77,8,227,12.98,10.44,0
6756,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,132,77,8,227,13.26,10.29,0
6757,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,126,76,8,227,13.77,9.95,0
6758,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,125,75,8,227,13.6,10,0
6759,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,124,74,8,227,13.43,10.05,0
6760,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,123,73,8,227,13.28,10.11,0
6761,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,122,72,8,227,13.12,10.17,0
6762,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,121,71,8,227,12.98,10.23,0
6763,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,117,70,8,227,13.2,10.03,0
6764,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,113,69,8,227,13.41,9.83,0
6765,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,113,68,8,227,13.15,9.97,0
6766,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,107,67,8,227,13.58,9.58,0
6767,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,106,66,8,227,13.44,9.64,0
6768,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,105,65,8,227,13.31,9.69,0
6769,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,104,64,8,227,13.18,9.75,0
6770,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,103,63,8,227,13.05,9.81,0
6771,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,102,62,8,227,12.93,9.87,0
6772,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,96,61,8,227,13.32,9.44,0
6773,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,95,60,8,227,13.2,9.5,0
6774,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,89,59,8,227,13.57,9.05,0
6775,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,89,58,8,227,13.35,9.21,0
6776,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,88,57,8,227,13.24,9.26,0
6777,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,87,56,8,227,13.12,9.32,0
6778,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,86,55,8,227,13.02,9.38,0
6779,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,86,54,8,227,12.82,9.56,0
6780,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,86,53,7,227,12.63,9.74,0
6781,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,85,52,7,227,12.53,9.81,0
6782,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,84,51,7,227,12.43,9.88,0
6783,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,83,50,7,227,12.34,9.96,0
6784,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,82,49,7,227,12.25,10.04,0
6785,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,81,48,7,227,12.17,10.12,0
6786,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,81,47,7,227,12,10.34,0
6787,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,75,46,7,227,12.32,9.78,0
6788,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,74,45,7,227,12.24,9.87,0
6789,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,68,44,7,227,12.55,9.27,0
6790,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,68,43,7,227,12.39,9.49,0
6791,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,68,42,6,227,12.23,9.71,0
6792,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,67,41,6,227,12.15,9.8,0
6793,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,66,40,6,227,12.08,9.9,0
6794,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,65,39,6,227,12,10,0
6795,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,59,38,6,227,12.29,9.32,0
6796,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,59,37,6,227,12.14,9.57,0
6797,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,58,36,6,227,12.07,9.67,0
6798,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,57,35,6,227,12,9.77,0
6799,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,53,34,6,227,12.14,9.35,0
6800,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,51,33,6,227,12.14,9.27,0
6801,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,49,32,6,227,12.14,9.19,0
6802,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,48,31,6,227,12.07,9.29,0
